,Order ID,Order Date,Customer ID,Segment,City,State,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin %
0,CA-2016-152156,11/8/2016,CG-12520,Consumer,Henderson,Kentucky,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0.0,41.9136,0.16000000000000003
1,CA-2016-152156,11/8/2016,CG-12520,Consumer,Henderson,Kentucky,FUR-CH-10000454,Furniture,Chairs,731.94,3,0.0,219.582,0.3
2,CA-2016-138688,6/12/2016,DV-13045,Corporate,Los Angeles,California,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0.0,6.8714,0.47000000000000003
3,US-2015-108966,10/11/2015,SO-20335,Consumer,Fort Lauderdale,Florida,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031,-0.4
4,US-2015-108966,10/11/2015,SO-20335,Consumer,Fort Lauderdale,Florida,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164,0.1125
5,CA-2014-115812,6/9/2014,BH-11710,Consumer,Los Angeles,California,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0.0,14.1694,0.29
6,CA-2014-115812,6/9/2014,BH-11710,Consumer,Los Angeles,California,OFF-AR-10002833,Office Supplies,Art,7.28,4,0.0,1.9656,0.27
7,CA-2014-115812,6/9/2014,BH-11710,Consumer,Los Angeles,California,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152,0.09999999999999999
8,CA-2014-115812,6/9/2014,BH-11710,Consumer,Los Angeles,California,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825,0.31249999999999994
9,CA-2014-115812,6/9/2014,BH-11710,Consumer,Los Angeles,California,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0.0,34.47,0.3
10,CA-2014-115812,6/9/2014,BH-11710,Consumer,Los Angeles,California,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092,0.05
11,CA-2014-115812,6/9/2014,BH-11710,Consumer,Los Angeles,California,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568,0.07500000000000001
12,CA-2017-114412,4/15/2017,AA-10480,Consumer,Concord,North Carolina,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432,0.35000000000000003
13,CA-2016-161389,12/5/2016,IM-15070,Consumer,Seattle,Washington,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922,0.32499999999999996
14,US-2015-118983,11/22/2015,HP-14815,Home Office,Fort Worth,Texas,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858,-1.8
15,US-2015-118983,11/22/2015,HP-14815,Home Office,Fort Worth,Texas,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816,-1.5
16,CA-2014-105893,11/11/2014,PK-19075,Consumer,Madison,Wisconsin,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0.0,13.3176,0.02
17,CA-2014-167164,5/13/2014,AG-10270,Consumer,West Jordan,Utah,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0.0,9.99,0.18
18,CA-2014-143336,8/27/2014,ZD-21925,Consumer,San Francisco,California,OFF-AR-10003056,Office Supplies,Art,8.56,2,0.0,2.4824,0.29
19,CA-2014-143336,8/27/2014,ZD-21925,Consumer,San Francisco,California,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011,0.075
